,names,nfollowers,ntweets,type
190,NYULeads,,2343,
191,NYUTelAviv,,233,
192,NYUParis,,75,
193,NYUMadridhub,,757,
194,NYUFlorence,,513,
195,ULCNYU,,944,
196,NYUSilver,,1697,
197,SteinhardtLife,,705,
198,NYUAD_AH,,6775,
199,SteinhardtGbl,,752,
200,NYU_CE,,555,
201,NYU_ASI,,558,
202,NYUSociology,,892,
203,JimGrossmanAHA,,5094,
204,GSOCUAW,,1071,
205,BSUNYU,,2706,
206,ProfJLMorgan,,2500,
207,isawnyu,,507,
208,SMaPP_NYU,,393,
209,KimmelCenterNYU,,85,
210,PostdocsNYU,,365,
211,MarthaHodes,,0,
212,ruthbenghiat,,5074,
213,BlancaMontsan,,20,
214,annekodonnell,,514,
215,NYUSummer,,239,
216,NYUService,,513,
217,LiveWellNYU,,2099,
218,NYCMayor,,9989,
219,timeshighered,,66876,
220,chronicle,,25920,
221,KarinBurrell,,1,
222,kaohu11,,32,
223,AldenEstruth,,0,
224,BrademasCenter,,284,
225,histmia,,845,
226,NYUmental,,5,
227,nyustudentgov,,1121,
228,NYUMLKWeek,,358,
229,NYUHumanities,,2246,
230,NYUCAS,,4736,
231,AneliseHShrout,,4257,
232,EmmaOtheguy,,1512,
233,LaurenLefty,,17,
234,KhalilGMuhammad,,3764,
235,OkudaTweeter,,1127,
236,ebony__pearl,,1221,
237,KeyanahFreeland,,55,
238,cayetana_ap,,52,
239,lau_phil,,132,
240,BrianaARoyster,,59,
241,KEDalmostPhD,,6311,
242,DiasporaPhD,,86,
243,byeliseam,,78,
244,DominiqueJL15,,6404,
245,JamaicanScholar,,25553,
246,TomFleischman,,1917,
247,JuneHawk20,,1521,
248,SarahZarrow,,6034,
249,ellennoonan,,363,
250,small_beyonce,,770,
251,frankleonrobert,,11003,
252,PhcCuny,,23,
253,dissreviews,,1663,
254,HISTORY,,52888,
255,NYUEnglish,,437,
256,HistorioBLOG,,1730,
257,Adita_Ferrer,,4248,
258,ARCNYU,,2682,
259,RobtWCole,,325,
260,TimoMcGregor,,0,
261,asteinlight,,363,
262,dlondonnyu,,5476,
263,MikeKoncewicz,,3433,
264,jraimo,,4029,
265,MuseWendi,,33516,
266,TomSugrue,,2789,
267,NYUJordanCenter,,2280,
268,emmakgy,,62,
269,Karl_Appuhn,,1264,
270,historicities,,2283,
271,ndbconnolly,,786,
272,wraggem,,538,
273,TamimentLibrary,,213,
274,nyuclassics,,14,
275,TejNagaraja,,62,
276,Joshua_Sooter,,1,
277,TimNaftali,,3090,
278,NYUAfricaHouse,,644,
279,nyupb,,1745,
280,nyuskirball,,5861,
281,NYUCEMS,,191,
282,CLACS_NYU,,3050,
283,NYU_UP,,444,
284,NYUGlobalInfo,,2446,
285,NYU_OGS,,3566,
286,HashtagNYU,,13122,
287,CasaItalianaNYU,,1338,
288,NYUAlumni,,5319,
289,nyuboxoffice,,5372,
290,NYULibraries,,2152,
291,nyulaw,,20566,
292,ArtsandScience,,3572,
293,NYUWasserman,,10190,
294,NYULocal,,13118,
295,maklimke,,247,
296,A_NeedhamNYU,,1955,
297,jf_string,,3062,
298,NYdiasporaforum,,47,
299,TheMarkTwain,,4557,
300,MuseumofCityNY,,10291,
301,nyuniversity,,12468,
302,JournAmHist,,911,
303,AHAhistorians,,9482,
304,The_OAH,,3101,
305,WEAI_Columbia,,8840,
306,GSASMastersAlum,,1128,
307,NYU_GSAS_MA,,4061,
308,yivoinstitute,,5424,
309,ThisRunningLife,,49792,
310,GIHNYU,,2410,
311,historianess,,83942,
312,ValerieDeacon1,,2892,
313,trumps_feed,,742,
314,dhopkins1776,,44,
315,barneyronay,,29318,
316,PhilippeAuclair,,45554,
317,iainmacintosh,,72412,
318,JacobSteinberg,,43287,
319,jonawils,,48185,
